Crop Nutrient Budget,FABIO
"Abaca, manila hemp, raw",Abaca
"Agave fibres, raw, n.e.c.","Hard Fibres, Other"
"Almonds, in shell",Nuts and products
"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","Vegetables, Other"
Apples,Apples and products
Apricots,"Fruits, Other"
Areca nuts,Nuts and products
Artichokes,"Vegetables, Other"
Asparagus,"Vegetables, Other"
Avocados,"Fruits, Other"
"Bambara beans, dry",Beans
Bananas,Bananas
Barley,Barley and products
"Beans, dry",Beans
Blueberries,"Fruits, Other"
"Brazil nuts, in shell",Nuts and products
"Broad beans and horse beans, dry",Beans
"Broad beans and horse beans, green",Beans
Buckwheat,Wheat and products
Cabbages,"Vegetables, Other"
Canary seed,exculded
Cantaloupes and other melons,"Fruits, Other"
Carrots and turnips,"Vegetables, Other"
"Cashew nuts, in shell",Nuts and products
Cashewapple,"Fruits, Other"
Cassava leaves,Cassava and products
"Cassava, fresh",Cassava and products
Castor oil seeds,"Oilcrops Oil, Other"
Cauliflowers and broccoli,"Vegetables, Other"
Cereals n.e.c.,"Cereals, Other"
"Cereals, primary","Cereals, Other"
Cherries,"Fruits, Other"
"Chestnuts, in shell",Nuts and products
"Chick peas, dry","Vegetables, Other"
Chicory roots,"Roots, Other"
"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",Pepper
"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",Pepper
"Cinnamon and cinnamon-tree flowers, raw","Spices, Other"
"Citrus Fruit, Total","Citrus, Other"
"Cloves (whole stems), raw",Cloves
Cocoa beans,Cocoa Beans and products
"Coconuts, in shell",Coconuts - Incl Copra
"Coffee, green",Coffee and products
"Coir, raw","Hard Fibres, Other"
"Cow peas, dry",Peas
Cranberries,"Fruits, Other"
Cucumbers and gherkins,"Vegetables, Other"
Currants,"Fruits, Other"
Dates,Dates
"Edible roots and tubers with high starch or inulin content, n.e.c., fresh","Roots, Other"
Eggplants (aubergines),"Vegetables, Other"
"Fibre Crops, Fibre Equivalent",
Figs,"Fruits, Other"
"Flax, processed but not spun",
Fonio,
Fruit Primary,
"Ginger, raw",
Gooseberries,
Grapes,
Green corn (maize),
Green garlic,
"Groundnuts, excluding shelled",
"Hazelnuts, in shell",
Hempseed,
Hop cones,
Jojoba seeds,
"Jute, raw or retted",
Kapok fruit,
Karite nuts (sheanuts),
"Kenaf, and other textile bast fibres, raw or retted",
Kiwi fruit,
Kola nuts,
Leeks and other alliaceous vegetables,
Lemons and limes,
"Lentils, dry",
Lettuce and chicory,
Linseed,
Locust beans (carobs),
Lupins,
Maize (corn),
"Mangoes, guavas and mangosteens",
Mat?leaves,
Melonseed,
Millet,
Mixed grain,
Mushrooms and truffles,
Mustard seed,
Natural rubber in primary forms,
"Nutmeg, mace, cardamoms, raw",
Oats,
Oil palm fruit,
"Oilcrops, Cake Equivalent",
"Oilcrops, Oil Equivalent",
Okra,
Olives,
"Onions and shallots, dry (excluding dehydrated)",
"Onions and shallots, green",
Oranges,
"Other beans, green",
Other berries and fruits of the genus vaccinium n.e.c.,
"Other citrus fruit, n.e.c.",
"Other fibre crops, raw, n.e.c.",
"Other fruits, n.e.c.",
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",
"Other oil seeds, n.e.c.",
Other pome fruits,
Other pulses n.e.c.,
"Other stimulant, spice and aromatic crops, n.e.c.",
Other stone fruits,
Other sugar crops n.e.c.,
"Other tropical fruits, n.e.c.",
"Other vegetables, fresh n.e.c.",
Papayas,
Peaches and nectarines,
Pears,
"Peas, dry",
"Peas, green",
"Pepper (Piper spp.), raw",
"Peppermint, spearmint",
Persimmons,
"Pigeon peas, dry",
Pineapples,
"Pistachios, in shell",
Plantains and cooking bananas,
Plums and sloes,
Pomelos and grapefruits,
Poppy seed,
Potatoes,
"Pulses, Total",
"Pumpkins, squash and gourds",
"Pyrethrum, dried flowers",
Quinces,
Quinoa,
"Ramie, raw or retted",
Rape or colza seed,
Raspberries,
Rice,
"Roots and Tubers, Total",
Rye,
Safflower seed,
"Seed cotton, unginned",
Sesame seed,
"Sisal, raw",
Sorghum,Sorghum and products
Sour cherries,
Soya beans,Soyabeans
Spinach,
Strawberries,
String beans,Beans
Sugar beet,Sugar beet
Sugar cane,Sugar cane
Sugar Crops Primary,
Sunflower seed,Sunflower seed
Sweet potatoes,Sweet potatoes
Tallowtree seeds,excluded
"Tangerines, mandarins, clementines","Fruits, Other"
Taro,"Roots, Other"
Tea leaves,Tea (including mate)
Tomatoes,Tomatoes and products
"Treenuts, Total",Nuts and products
Triticale,
"True hemp, raw or retted",
Tung nuts,
Unmanufactured tobacco,
"Vanilla, raw",
Vegetables Primary,
Vetches,
"Walnuts, in shell",
Watermelons,
Wheat,
Yams,
Yautia,
